alpha,CL
-33.0,-1.1942
-32.0,-1.1723
-31.0,-1.148
-30.0,-1.1219
-29.0,-1.0942
-28.0,-1.0651
-27.0,-1.0336
-26.0,-1.0012
-25.0,-0.9693
-24.0,-0.9378
-23.0,-0.9029
-22.0,-0.8691
-21.0,-0.8344
-20.0,-0.7989
-19.0,-0.7628
-18.0,-0.7339
-17.0,-0.6953
-16.0,-0.6609
-15.0,-0.6287
-14.0,-0.6016
-13.0,-0.4203
-12.0,-0.406
-11.0,-0.4128
-10.0,-0.3953
-8.0,-0.4793
-6.0,-0.3997
-5.0,-0.3107
-4.0,-0.2124
-3.0,-0.1096
-2.0,0.0168
-1.0,0.1571
0.0,0.2943
1.0,0.4105
2.0,0.5186
3.0,0.6235
4.0,0.7265
5.0,0.8271
6.0,0.9246
7.0,1.0165
8.0,1.0967
9.0,1.16
10.0,1.2007
11.0,1.1926
12.0,1.134
13.0,1.0446
16.0,0.9849
17.0,1.0082
18.0,1.0342
19.0,0.749
20.0,0.7517
21.0,0.7626
22.0,0.7856
23.0,0.787
24.0,0.7952
25.0,0.8056
26.0,0.8164
27.0,0.8288
28.0,0.8329
29.0,0.8396
30.0,0.8462
31.0,0.8517
32.0,0.8584
33.0,0.86
34.0,0.8616
35.0,0.8633
36.0,0.864
37.0,0.8634
38.0,0.8616
39.0,0.8584
