alpha,LD
-33.0,-2.9775350936245544
-32.0,-2.99629392971246
-31.0,-3.004606365159129
-30.0,-3.010922948927833
-29.0,-3.0164856370954403
-28.0,-3.0215602836879434
-27.0,-3.019838139480527
-26.0,-3.004080652904465
-25.0,-2.981635854686395
-24.0,-2.9623779890703474
-23.0,-3.038839526117394
-22.0,-3.056444522595393
-21.0,-3.064604987696037
-20.0,-3.073874567141208
-19.0,-3.072708962739174
-18.0,-3.0451018629932367
-17.0,-3.141321044546851
-16.0,-3.185674346862046
-15.0,-3.2397196743275276
-14.0,-3.3111343497165504
-13.0,-2.801252999200213
-12.0,-2.9217040875071967
-11.0,-3.2154541205795297
-10.0,-3.5165910506182723
-8.0,-5.3066873339238265
-6.0,-9.656921961826527
-5.0,-11.728954322385805
-4.0,-11.045241809672387
-3.0,-7.135416666666667
-2.0,1.3270142180094786
-1.0,14.153153153153152
0.0,26.370967741935484
1.0,36.19929453262787
2.0,44.061172472387426
3.0,49.52343129467832
4.0,52.45487364620939
5.0,53.01923076923077
6.0,51.6247906197655
7.0,48.038752362948955
8.0,41.69961977186312
9.0,34.54437164979154
10.0,27.344568435436123
11.0,21.096762780824346
12.0,14.696734059097976
13.0,9.099303135888501
16.0,4.773883961029519
17.0,4.477704743293658
18.0,4.2071434382881785
19.0,3.3209186840471756
20.0,3.156414024774302
21.0,3.0335335534428576
22.0,2.9278473464519976
23.0,2.8181622860416815
24.0,2.719934327541387
25.0,2.632163628046788
26.0,2.5527657046371286
27.0,2.4558492355102524
28.0,2.3827096921844606
29.0,2.312119626580013
30.0,2.2437291191599935
31.0,2.1781494552708303
32.0,2.1021697604937066
33.0,2.0426097902762272
34.0,1.9859398409588567
35.0,1.9306288576795776
36.0,1.8758956098831907
37.0,1.8229419589130755
38.0,1.7725841956919786
39.0,1.7236601674665168
