CD,CL
0.2369,-0.8058
0.2226,-0.7845
0.20924,-0.7595
0.19085,-0.7462
0.09552,-0.9305
0.07166,-0.9889
0.05399,-1.0305
0.04169,-1.0435
0.03495,-1.0192
0.02868,-0.9991
0.02458,-0.9724
0.02174,-0.9283
0.01963,-0.8746
0.01751,-0.8121
0.01582,-0.6934
0.01447,-0.552
0.01294,-0.4432
0.01161,-0.3292
0.01094,-0.2174
0.0105,-0.1084
0.01029,-0.0
0.0105,0.1084
0.01094,0.2174
0.01161,0.3291
0.01294,0.4432
0.01447,0.5521
0.01581,0.6936
0.01751,0.8123
0.01962,0.8744
0.02173,0.9285
0.02457,0.9735
0.02868,1.0014
0.0349,1.0229
0.04168,1.048
0.05402,1.0357
0.0714,0.9976
0.09512,0.9405
0.1924,0.753
0.21144,0.7653
0.22469,0.791
