rpm,thrust_N_fitted
2.2850000858306885,-0.9333731375274841
2.4828384717305503,-0.9026710611719091
2.6806768576304116,-0.8679395359016668
2.8785152435302734,-0.8291785617167569
3.0763536294301352,-0.7863881386171794
3.274192015329997,-0.7395682666029346
3.4720304012298584,-0.6887189456740224
3.66986878712972,-0.6338401758304425
3.867707173029582,-0.5749319570721951
4.065545558929443,-0.5119942893992805
4.263383944829306,-0.445027172811698
4.461222330729167,-0.3740306073094485
4.659060716629028,-0.29900459289253145
4.856899102528891,-0.2199491295609467
5.054737488428752,-0.13686421731469467
5.252575874328613,-0.04974985615377514
5.4504142602284755,0.04139395392181211
5.648252646128337,0.13656721291206642
5.846091032028198,0.23576992081698822
6.0439294179280605,0.3390020776365782
6.241767803827922,0.44626368337083455
6.439606189727783,0.5575547380197591
6.6374445756276454,0.6728752415833513
6.835282961527507,0.7922251940616104
7.033121347427368,0.9156045954545372
7.23095973332723,1.0430134457621318
7.428798119227092,1.1744517449843936
7.626636505126953,1.3099194931213223
7.824474891026815,1.44941669017292
8.022313276926678,1.5929433361391845
8.220151662826538,1.7404994310201154
8.4179900487264,1.892084974815715
8.615828434626263,2.0476999675259817
8.813666820526123,2.207344409150915
9.011505206425985,2.371018299690517
9.209343592325848,2.5387216391447867
9.407181978225708,2.7104544275137217
9.60502036412557,2.8862166647973266
9.802858750025432,3.066008350995598
10.000697135925293,3.2498294861085366
10.198535521825155,3.4376800701361434
10.396373907725017,3.6295601030784184
10.594212293624878,3.825469584935358
10.79205067952474,4.0254085157069674
10.989889065424602,4.229376895393244
11.187727451324463,4.437374723994187
11.385565837224325,4.649402001509799
11.583404223124187,4.865458727940078
11.781242609024048,5.085544903285023
11.97908099492391,5.309660527544637
12.176919380823772,5.537805600718919
12.374757766723633,5.7699801228078655
12.572596152623495,6.006184093811484
12.770434538523357,6.246417513729768
12.968272924423218,6.490680382562717
13.16611131032308,6.7389727003103355
13.363949696222942,6.991294466972622
13.561788082122803,7.2476456825495745
13.759626468022665,7.508026347041197
13.957464853922527,7.772436460447485
14.155303239822388,8.040876022768439
14.35314162572225,8.313345034004064
14.550980011622112,8.589843494154357
14.748818397521973,8.870371403219313
14.946656783421835,9.15492876119894
15.144495169321697,9.443515568093233
15.342333555221558,9.736131823902191
15.54017194112142,10.03277752862582
15.738010327021282,10.333452682264117
15.935848712921143,10.63815728481708
16.133687098821007,10.946891336284713
16.331525484720867,11.259654836667009
16.529363870620728,11.576447785963973
16.72720225652059,11.89727018417561
16.925040642420452,12.22212203130191
17.122879028320312,12.551003327342874
17.320717414220177,12.883914072298516
17.518555800120037,13.220854266168814
17.716394186019897,13.561823908953782
17.91423257191976,13.906823000653425
18.112070957819622,14.255851541267731
18.309909343719482,14.608909530796701
18.507747729619346,14.965996969240342
18.705586115519207,15.327113856598649
18.903424501419067,15.692260192871624
19.10126288731893,16.06143597805927
19.299101273218792,16.434641212161573
19.496939659118652,16.811875895178552
19.694778045018516,17.1931400271102
19.892616430918377,17.578433607956512
20.090454816818237,17.967756637717486
20.2882932027181,18.36110911639314
20.486131588617962,18.758491043983454
20.683969974517822,19.159902420488436
20.881808360417686,19.56534324590809
21.079646746317547,19.9748135202424
21.277485132217407,20.388313243491385
21.47532351811727,20.805842415655043
21.67316190401713,21.22740103673336
21.871000289916992,21.652989106726345
